eta_frac,eta_percent,eta,c0,code,message
0.0446,4.46,34.0298,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0448,4.48,34.1824,2.3,threshold_not_reached,Background peak does not exceed eta.
0.045,4.5,34.335,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0452,4.52,34.4876,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0454,4.54,34.6402,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0456,4.56,34.7928,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0458,4.58,34.9454,2.3,threshold_not_reached,Background peak does not exceed eta.
0.046,4.6,35.098,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0462,4.62,35.2506,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0464,4.64,35.4032,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0466,4.66,35.5558,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0468,4.68,35.7084,2.3,threshold_not_reached,Background peak does not exceed eta.
0.047,4.7,35.861,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0472,4.72,36.0136,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0474,4.74,36.1662,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0476,4.76,36.3188,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0478,4.78,36.4714,2.3,threshold_not_reached,Background peak does not exceed eta.
0.048,4.8,36.624,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0482,4.82,36.7766,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0484,4.84,36.9292,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0486,4.86,37.0818,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0488,4.88,37.2344,2.3,threshold_not_reached,Background peak does not exceed eta.
0.049,4.9,37.387,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0492,4.92,37.5396,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0494,4.94,37.6922,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0496,4.96,37.8448,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0498,4.98,37.9974,2.3,threshold_not_reached,Background peak does not exceed eta.
0.05,5,38.15,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0022,0.22,1.6786,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0024,0.24,1.8312,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0026,0.26,1.9838,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0028,0.28,2.1364,2.4,threshold_not_reached,Background peak does not exceed eta.
0.003,0.3,2.289,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0032,0.32,2.4416,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0034,0.34,2.5942,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0036,0.36,2.7468,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0038,0.38,2.8994,2.4,threshold_not_reached,Background peak does not exceed eta.
0.004,0.4,3.052,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0042,0.42,3.2046,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0044,0.44,3.3572,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0046,0.46,3.5098,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0048,0.48,3.6624,2.4,threshold_not_reached,Background peak does not exceed eta.
0.005,0.5,3.815,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0052,0.52,3.9676,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0054,0.54,4.1202,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0056,0.56,4.2728,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0058,0.58,4.4254,2.4,threshold_not_reached,Background peak does not exceed eta.
0.006,0.6,4.578,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0062,0.62,4.7306,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0064,0.64,4.8832,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0066,0.66,5.0358,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0068,0.68,5.1884,2.4,threshold_not_reached,Background peak does not exceed eta.
0.007,0.7,5.341,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0072,0.72,5.4936,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0074,0.74,5.6462,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0076,0.76,5.7988,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0078,0.78,5.9514,2.4,threshold_not_reached,Background peak does not exceed eta.
0.008,0.8,6.104,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0082,0.82,6.2566,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0084,0.84,6.4092,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0086,0.86,6.5618,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0088,0.88,6.7144,2.4,threshold_not_reached,Background peak does not exceed eta.
0.009,0.9,6.867,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0092,0.92,7.0196,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0094,0.94,7.1722,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0096,0.96,7.3248,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0098,0.98,7.4774,2.4,threshold_not_reached,Background peak does not exceed eta.
0.01,1,7.63,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0102,1.02,7.7826,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0104,1.04,7.9352,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0106,1.06,8.0878,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0108,1.08,8.2404,2.4,threshold_not_reached,Background peak does not exceed eta.
0.011,1.1,8.393,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0112,1.12,8.5456,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0114,1.14,8.6982,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0116,1.16,8.8508,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0118,1.18,9.0034,2.4,threshold_not_reached,Background peak does not exceed eta.
0.012,1.2,9.156,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0122,1.22,9.3086,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0124,1.24,9.4612,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0126,1.26,9.6138,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0128,1.28,9.7664,2.4,threshold_not_reached,Background peak does not exceed eta.
0.013,1.3,9.919,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0132,1.32,10.0716,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0134,1.34,10.2242,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0136,1.36,10.3768,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0138,1.38,10.5294,2.4,threshold_not_reached,Background peak does not exceed eta.
0.014,1.4,10.682,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0142,1.42,10.8346,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0144,1.44,10.9872,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0146,1.46,11.1398,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0148,1.48,11.2924,2.4,threshold_not_reached,Background peak does not exceed eta.
0.015,1.5,11.445,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0152,1.52,11.5976,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0154,1.54,11.7502,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0156,1.56,11.9028,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0158,1.58,12.0554,2.4,threshold_not_reached,Background peak does not exceed eta.
0.016,1.6,12.208,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0162,1.62,12.3606,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0164,1.64,12.5132,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0166,1.66,12.6658,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0168,1.68,12.8184,2.4,threshold_not_reached,Background peak does not exceed eta.
0.017,1.7,12.971,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0172,1.72,13.1236,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0174,1.74,13.2762,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0176,1.76,13.4288,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0178,1.78,13.5814,2.4,threshold_not_reached,Background peak does not exceed eta.
0.018,1.8,13.734,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0182,1.82,13.8866,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0184,1.84,14.0392,2.4,threshold_not_reached,Background peak does not exceed eta.
0.0186,1.86,14.1918,2.4,threshold_not_reached,Background peak does not exceed eta.
